NDC,drugbank_id
000493960,DB00246
000493920,DB00246
000137001,DB00248
498840673,DB00248
000935420,DB00248
499380102,DB00250
499380101,DB00250
000625350,DB00251
000625351,DB00251
548682776,DB00252
001439881,DB00252
000710007,DB00252
000710362,DB00252
510790905,DB00252
000710365,DB00252
006410493,DB00252
001439882,DB00252
004091317,DB00252
000741317,DB00252
006412555,DB00252
000713740,DB00252
000710369,DB00252
529590055,DB00254
633230130,DB00254
553900110,DB00254
005740107,DB00257
516722003,DB00257
009047822,DB00257
000548146,DB00257
173149400,DB00257
165000023,DB00258
597306402,DB00258
597306401,DB00258
000540088,DB00258
001725241,DB00261
540920063,DB00261
000153012,DB00262
510790255,DB00264
009047772,DB00264
003780018,DB00264
680840304,DB00264
003780032,DB00264
553900348,DB00264
553900073,DB00264
625840788,DB00264
007811371,DB00264
581770293,DB00264
000741778,DB00264
001861090,DB00264
001861092,DB00264
510790801,DB00264
510790802,DB00264
000746102,DB00264
387790578,DB00264
001861088,DB00264
001439873,DB00264
000074892,DB00268
000074890,DB00268
000540116,DB00268
000074891,DB00268
000935284,DB00268
000935282,DB00268
000074893,DB00268
000780226,DB00270
000194816,DB00271
000450639,DB00273
000450642,DB00273
000930155,DB00273
000450641,DB00273
655970103,DB00275
009045888,DB00277
002583638,DB00277
004560644,DB00277
002583625,DB00277
000548845,DB00277
677810251,DB00277
501110483,DB00277
000850933,DB00277
000074407,DB00278
398220151,DB00279
004560050,DB00279
607930117,DB00279
607930116,DB00279
607930115,DB00279
000075210,DB00279
000933127,DB00280
003640739,DB00280
548683816,DB00280
003640740,DB00280
000252742,DB00280
000252732,DB00280
001860135,DB00281
000743183,DB00281
001860230,DB00281
004097931,DB00281
003380409,DB00281
001860215,DB00281
001680357,DB00281
000543505,DB00281
001680204,DB00281
004094713,DB00281
004094275,DB00281
001860112,DB00281
000744275,DB00281
001860137,DB00281
000742066,DB00281
001860240,DB00281
004094277,DB00281
633230490,DB00281
001861515,DB00281
000746217,DB00281
000747931,DB00281
001860235,DB00281
004093181,DB00281
000744282,DB00281
004094282,DB00281
000743182,DB00281
004093182,DB00281
001860122,DB00281
004094279,DB00281
004094270,DB00281
000744277,DB00281
001860330,DB00281
001860140,DB00281
174780711,DB00281
000548500,DB00281
000744903,DB00281
000741323,DB00281
000743178,DB00281
004093178,DB00281
001860210,DB00281
001860276,DB00281
005483011,DB00281
000543500,DB00281
005483012,DB00281
004093177,DB00281
634810687,DB00281
000744276,DB00281
633230201,DB00281
000744270,DB00281
004094276,DB00281
000744713,DB00281
763293012,DB00281
007034085,DB00282
633230734,DB00282
007034075,DB00282
553900204,DB00282
000262861,DB00284
000080704,DB00285
000080837,DB00285
000080833,DB00285
000080701,DB00285
510790480,DB00285
000080781,DB00285
000937380,DB00285
000937382,DB00285
000460749,DB00286
000461102,DB00286
000460872,DB00286
000460867,DB00286
000461100,DB00286
000460868,DB00286
000650266,DB00287
548685968,DB00287
000023229,DB00289
000023239,DB00289
007033154,DB00290
000153010,DB00290
553900005,DB00290
001730635,DB00291
553900762,DB00292
004096695,DB00292
000748062,DB00292
429980203,DB00295
000540235,DB00295
006416073,DB00295
100190176,DB00295
004091261,DB00295
000540237,DB00295
000540236,DB00295
004068330,DB00295
609770017,DB00295
004091762,DB00295
100190178,DB00295
004068315,DB00295
001861150,DB00295
664790560,DB00295
609770115,DB00295
000548585,DB00295
004091258,DB00295
004068390,DB00295
004091890,DB00295
005747112,DB00295
001860859,DB00296
633230285,DB00296
001861034,DB00297
001861033,DB00297
001861032,DB00297
004099042,DB00297
004099045,DB00297
001861030,DB00297
004091159,DB00297
004091162,DB00297
004091761,DB00297
619580401,DB00300
619580701,DB00300
000131114,DB00302
000063843,DB00303
000153002,DB00305
000153001,DB00305
000093794,DB00308
510790058,DB00310
000080303,DB00312
673860501,DB00312
000743778,DB00312
680940193,DB00313
000746214,DB00313
000747126,DB00313
000746215,DB00313
000746212,DB00313
000746114,DB00313
000745682,DB00313
510790767,DB00313
000743826,DB00313
510790766,DB00313
000741564,DB00313
002450182,DB00313
001439785,DB00313
002450181,DB00313
000745681,DB00313
002450180,DB00313
510790396,DB00316
001828447,DB00316
009045255,DB00316
001210657,DB00316
510790161,DB00316
004060357,DB00316
004060484,DB00316
001431787,DB00316
000544650,DB00316
001828453,DB00316
510790002,DB00316
006771781,DB00316
545692814,DB00316
007130165,DB00316
458020732,DB00316
458020730,DB00316
000543686,DB00316
009041988,DB00316
438250102,DB00316
009043440,DB00316
000548650,DB00316
000543010,DB00316
000450513,DB00316
000450501,DB00316
000548648,DB00316
634810623,DB00316
001210504,DB00316
004721200,DB00316
004060512,DB00316
004060484,DB00318
548684768,DB00318
000548156,DB00318
510790161,DB00318
001211775,DB00318
000450513,DB00318
001210504,DB00318
002068860,DB00319
002068855,DB00319
002068854,DB00319
002068852,DB00319
633230381,DB00319
002068862,DB00319
510790107,DB00321
510790131,DB00321
510790133,DB00321
001870938,DB00323
000045920,DB00323
119800211,DB00324
000743024,DB00325
004093024,DB00325
590110454,DB00327
590110442,DB00327
000742453,DB00327
000742416,DB00327
000742415,DB00327
000742451,DB00327
000742333,DB00327
000741312,DB00327
000741304,DB00327
005747224,DB00327
000548394,DB00327
000548392,DB00327
000080295,DB00327
000441017,DB00327
000742414,DB00327
